PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare
732,D,3,0,11,0,0,18.7875
733,D,2,0,24.0442583732,0,0,0
734,D,2,0,23,0,0,13
735,D,2,0,23,0,0,13
736,D,3,0,28.5,0,0,16.1
737,D,3,1,48,1,3,34.375
738,S,1,0,35,0,0,512.3292
739,D,3,0,24.0442583732,0,0,7.8958
740,D,3,0,24.0442583732,0,0,7.8958
741,S,1,0,24.0442583732,0,0,30
742,D,1,0,36,1,0,78.85
743,S,1,1,21,2,2,262.375
744,D,3,0,24,1,0,16.1
745,S,3,0,31,0,0,7.925
746,D,1,0,70,1,1,71
747,D,3,0,16,1,1,20.25
748,S,2,1,30,0,0,13
749,D,1,0,19,1,0,53.1
750,D,3,0,31,0,0,7.75
751,S,2,1,4,1,1,23
752,S,3,0,6,0,1,12.475
753,D,3,0,33,0,0,9.5
754,D,3,0,23,0,0,7.8958
755,S,2,1,48,1,2,65
756,S,2,0,0.67,1,1,14.5
757,D,3,0,28,0,0,7.7958
758,D,2,0,18,0,0,11.5
759,D,3,0,34,0,0,8.05
760,S,1,1,33,0,0,86.5
761,D,3,0,24.0442583732,0,0,14.5
762,D,3,0,41,0,0,7.125
763,S,3,0,20,0,0,7.2292
764,S,1,1,36,1,2,120
765,D,3,0,16,0,0,7.775
766,S,1,1,51,1,0,77.9583
767,D,1,0,24.0442583732,0,0,39.6
768,D,3,1,30.5,0,0,7.75
769,D,3,0,24.0442583732,1,0,24.15
770,D,3,0,32,0,0,8.3625
771,D,3,0,24,0,0,9.5
772,D,3,0,48,0,0,7.8542
773,D,2,1,57,0,0,10.5
774,D,3,0,24.0442583732,0,0,7.225
775,S,2,1,54,1,3,23
776,D,3,0,18,0,0,7.75
777,D,3,0,24.0442583732,0,0,7.75
778,S,3,1,5,0,0,12.475
779,D,3,0,24.0442583732,0,0,7.7375
780,S,1,1,43,0,1,211.3375
781,S,3,1,13,0,0,7.2292
782,S,1,1,17,1,0,57
783,D,1,0,29,0,0,30
784,D,3,0,24.0442583732,1,2,23.45
785,D,3,0,25,0,0,7.05
786,D,3,0,25,0,0,7.25
787,S,3,1,18,0,0,7.4958
788,D,3,0,8,4,1,29.125
789,S,3,0,1,1,2,20.575
790,D,1,0,46,0,0,79.2
791,D,3,0,24.0442583732,0,0,7.75
792,D,2,0,16,0,0,26
793,D,3,1,24.0442583732,8,2,69.55
794,D,1,0,24.0442583732,0,0,30.6958
795,D,3,0,25,0,0,7.8958
796,D,2,0,39,0,0,13
797,S,1,1,49,0,0,25.9292
798,S,3,1,31,0,0,8.6833
799,D,3,0,30,0,0,7.2292
800,D,3,1,30,1,1,24.15
801,D,2,0,34,0,0,13
802,S,2,1,31,1,1,26.25
803,S,1,0,11,1,2,120
804,S,3,0,0.42,0,1,8.5167
805,S,3,0,27,0,0,6.975
806,D,3,0,31,0,0,7.775
807,D,1,0,39,0,0,0
808,D,3,1,18,0,0,7.775
809,D,2,0,39,0,0,13
810,S,1,1,33,1,0,53.1
811,D,3,0,26,0,0,7.8875
812,D,3,0,39,0,0,24.15
813,D,2,0,35,0,0,10.5
814,D,3,1,6,4,2,31.275
815,D,3,0,30.5,0,0,8.05
816,D,1,0,24.0442583732,0,0,0
817,D,3,1,23,0,0,7.925
818,D,2,0,31,1,1,37.0042
819,D,3,0,43,0,0,6.45
820,D,3,0,10,3,2,27.9
821,S,1,1,52,1,1,93.5
822,S,3,0,27,0,0,8.6625
823,D,1,0,38,0,0,0
824,S,3,1,27,0,1,12.475
825,D,3,0,2,4,1,39.6875
826,D,3,0,24.0442583732,0,0,6.95
827,D,3,0,24.0442583732,0,0,56.4958
828,S,2,0,1,0,2,37.0042
829,S,3,0,24.0442583732,0,0,7.75
830,S,1,1,62,0,0,80
831,S,3,1,15,1,0,14.4542
832,S,2,0,0.83,1,1,18.75
833,D,3,0,24.0442583732,0,0,7.2292
834,D,3,0,23,0,0,7.8542
835,D,3,0,18,0,0,8.3
836,S,1,1,39,1,1,83.1583
837,D,3,0,21,0,0,8.6625
838,D,3,0,24.0442583732,0,0,8.05
839,S,3,0,32,0,0,56.4958
840,S,1,0,24.0442583732,0,0,29.7
841,D,3,0,20,0,0,7.925
842,D,2,0,16,0,0,10.5
843,S,1,1,30,0,0,31
844,D,3,0,34.5,0,0,6.4375
845,D,3,0,17,0,0,8.6625
846,D,3,0,42,0,0,7.55
847,D,3,0,24.0442583732,8,2,69.55
848,D,3,0,35,0,0,7.8958
849,D,2,0,28,0,1,33
850,S,1,1,24.0442583732,1,0,89.1042
851,D,3,0,4,4,2,31.275
852,D,3,0,74,0,0,7.775
853,D,3,1,9,1,1,15.2458
854,S,1,1,16,0,1,39.4
855,D,2,1,44,1,0,26
856,S,3,1,18,0,1,9.35
857,S,1,1,45,1,1,164.8667
858,S,1,0,51,0,0,26.55
859,S,3,1,24,0,3,19.2583
860,D,3,0,24.0442583732,0,0,7.2292
861,D,3,0,41,2,0,14.1083
862,D,2,0,21,1,0,11.5
863,S,1,1,48,0,0,25.9292
864,D,3,1,24.0442583732,8,2,69.55
865,D,2,0,24,0,0,13
866,S,2,1,42,0,0,13
867,S,2,1,27,1,0,13.8583
868,D,1,0,31,0,0,50.4958
869,D,3,0,24.0442583732,0,0,9.5
870,S,3,0,4,1,1,11.1333
871,D,3,0,26,0,0,7.8958
872,S,1,1,47,1,1,52.5542
873,D,1,0,33,0,0,5
874,D,3,0,47,0,0,9
875,S,2,1,28,1,0,24
876,S,3,1,15,0,0,7.225
877,D,3,0,20,0,0,9.8458
878,D,3,0,19,0,0,7.8958
879,D,3,0,24.0442583732,0,0,7.8958
880,S,1,1,56,0,1,83.1583
881,S,2,1,25,0,1,26
882,D,3,0,33,0,0,7.8958
883,D,3,1,22,0,0,10.5167
884,D,2,0,28,0,0,10.5
885,D,3,0,25,0,0,7.05
886,D,3,1,39,0,5,29.125
887,D,2,0,27,0,0,13
888,S,1,1,19,0,0,30
889,D,3,1,24.0442583732,1,2,23.45
890,S,1,0,26,0,0,30
891,D,3,0,32,0,0,7.75
